Name,Speech,Lemmas,verse_number,inferred_verse_number
Ἀθήνα,ἔνθ᾽ εἰσπεσὼν ἔκειρε πολύκερων φόνον,ἔνθα εἰσπίπτω κείρω πολύκερως φόνος,55,55.0
Ἀθήνα,κύκλῳ ῥαχίζων: κἀδόκει μὲν ἔσθ᾽ ὅτε,κύκλος ῥαχίζω δοκέω μέν ἔσθω ὅστε,,56.0
Ἀθήνα,"δισσοὺς Ἀτρείδας αὐτόχειρ κτείνειν ἔχων,",δισσός Ἀτρείδης αὐτόχειρ κτείνω ἔχω,,57.0
Ἀθήνα,ὅτ᾽ ἄλλοτ᾽ ἄλλον ἐμπίτνων στρατηλατῶν.,ὅστε ἄλλοτε ἄλλος ἐμπίτνω στρατηλάτης,,58.0
Ἀθήνα,ἐγὼ δὲ φοιτῶντ᾽ ἄνδρα μανιάσιν νόσοις,ἐγώ δέ φοιτάω ἀνήρ μανιάς νόσος,,59.0
Ἀθήνα,"ὤτρυνον, εἰσέβαλλον εἰς ἕρκη κακά.",ὀτρύνω εἰσβάλλω εἶμι ἕρκος κάκη,60,60.0
Ἀθήνα,"κἄπειτ᾽ ἐπειδὴ τοῦδ᾽ ἐλώφησεν πόνου,",ἄπειμι ἐπεί ὅδε λωφάω πόνος,,61.0
Ἀθήνα,τοὺς ζῶντας αὖ δεσμοῖσι συνδήσας βοῶν,ὁ ζάω αὗ δεσμέω συνδέομαι βάζω,,62.0
Ἀθήνα,"ποίμνας τε πάσας εἰς δόμους κομίζεται,",ποίμνη σύ πάσσω εἶμι δόμος κομίζω,,63.0
Ἀθήνα,"ὡς ἄνδρας, οὐχ ὡς εὔκερων ἄγραν ἔχων,",ὅς ἀνήρ οὐ ὅς εὐκέραος ἄγρα ἔχω,,64.0
Ἀθήνα,καὶ νῦν κατ᾽ οἴκους συνδέτους αἰκίζεται.,καί νῦν κάτος οἶκος σύνδετος αἰκίζω,65,65.0
Ἀθήνα,"δείξω δὲ καὶ σοὶ τήνδε περιφανῆ νόσον,",δείκνυμι δέ καί σός ὅδε περιφαίνομαι νόσος,,66.0
Ἀθήνα,ὡς πᾶσιν Ἀργείοισιν εἰσιδὼν θροῇς.,ὅς πᾶς Ἀργεῖος εἶδον θροέω,,67.0
Ἀθήνα,θαρσῶν δὲ μίμνε μηδὲ συμφορὰν δέχου,θάρσος δέ μίμνω Μῆδος συμφορά δέχομαι,,68.0
Ἀθήνα,τὸν ἄνδρ᾽: ἐγὼ γὰρ ὀμμάτων ἀποστρόφους,ὁ ἀνδρίς ἐγώ γάρ ὄμμα ἀπόστροφος,,69.0
Ἀθήνα,αὐγὰς ἀπείρξω σὴν πρόσοψιν εἰσιδεῖν.,αὐγάζω ἀπείργω σής πρόσοψις εἶδον,70,70.0
Ἀθήνα,"οὗτος, σὲ τὸν τὰς αἰχμαλωτίδας χέρας",οὗτος σός ὁ ὁ αἰχμαλωτίς χείρ,,71.0
Ἀθήνα,δεσμοῖς ἀπευθύνοντα προσμολεῖν καλῶ:,δεσμέω ἀπευθύνω προσμολεῖν κάλως,,72.0
Ἀθήνα,Αἴαντα φωνῶ: στεῖχε δωμάτων πάρος.,Αἴας φῶνος στείχω δῶμα Πάρος,,73.0
Ὀδυσσεύς,"τί δρᾷς, Ἀθάνα; μηδαμῶς σφ᾽ ἔξω κάλει.",τίς δράω Ἀθήνη μηδαμός ἕπομαι ἔξεστι καλέω,,74.0
Ἀθήνα,οὐ σῖγ᾽ ἀνέξει μηδὲ δειλίαν ἀρεῖ;,οὐ σῖγα ἀνέχω Μῆδος δειλία Ἄρης,75,75.0
Ὀδυσσεύς,"μὴ πρὸς θεῶν, ἀλλ᾽ ἔνδον ἀρκείτω μένων.",μή πρός θέα ἄλλος ἔνδον ἀρκέω Μένων,,76.0
Ἀθήνα,τί μὴ γένηται; πρόσθεν οὐκ ἀνὴρ ὅδ᾽ ἦν;,τίς μή γενητός πρόσθεν οὐ ἀνήρ ὅδε ἐάν,,77.0
Ὀδυσσεύς,ἐχθρός γε τῷδε τἀνδρὶ καὶ τανῦν ἔτι.,ἐχθρός γε ὅδε ἀνδρίς καί τανῦν ἔτι,,78.0
Ἀθήνα,οὔκουν γέλως ἥδιστος εἰς ἐχθροὺς γελᾶν;,οὔκουν γέλως ἡδύς εἶμι ἐχθρός γελάω,,79.0
Ὀδυσσεύς,ἐμοὶ μὲν ἀρκεῖ τοῦτον ἐν δόμοις μένειν.,ἐγώ μέν ἄρκος οὗτος ἐν δόμος μένω,80,80.0
Ἀθήνα,μεμηνότ᾽ ἄνδρα περιφανῶς ὀκνεῖς ἰδεῖν;,μαίνομαι ἀνήρ περιφανής ὀκνέω εἶδον,,81.0
Ὀδυσσεύς,φρονοῦντα γάρ νιν οὐκ ἂν ἐξέστην ὄκνῳ.,φρονέω γάρ νιν οὐ ἄν ἐξίστημι ὄκνος,,82.0
Ἀθήνα,ἀλλ᾽ οὐδὲ νῦν σε μὴ παρόντ᾽ ἴδῃ πέλας.,ἄλλος οὐδέ νῦν σός μή πάρειμι Ἴδη πέλας,,83.0
Ὀδυσσεύς,"πῶς, εἴπερ ὀφθαλμοῖς γε τοῖς αὐτοῖς ὁρᾷ;",πῶς εἴπερ ὀφθαλμός γε ὁ αὐτός ὁράω,,84.0
Ἀθήνα,ἐγὼ σκοτώσω βλέφαρα καὶ δεδορκότα.,ἐγώ σκοτόω βλέφαρον καί δέρκομαι,85,85.0
Ὀδυσσεύς,γένοιτο μέντἂν πᾶν θεοῦ τεχνωμένου.,γίγνομαι μέντοι Πάν θεάομαι τεχνάομαι,,86.0
Ἀθήνα,σίγα νυν ἑστὼς καὶ μέν᾽ ὡς κυρεῖς ἔχων.,σῖγα νῦν ἵστημι καί μένω ὅς κυρέω ἔχω,,87.0
Ὀδυσσεύς,μένοιμ᾽ ἄν: ἤθελον δ᾽ ἂν ἐκτὸς ὢν τυχεῖν.,μένω ἄν ἐθέλω δέ ἄν ἐκτός εἰμί τυγχάνω,,88.0
Ἀθήνα,"ὦ οὕτος, Αἴας, δεύτερόν σε προσκαλῶ.",εἰμί οὗτος Αἴας δεύτερος σός προσκαλέω,,89.0
Ἀθήνα,τί βαιὸν οὕτως ἐντρέπει τῆς συμμάχου;,τίς βάιον οὕτως ἐντρέπω ὁ σύμμαχος,90,90.0
Αἴας,"ὦ χαῖρ᾽ Ἀθάνα, χαῖρε Διογενὲς τέκνον,",εἰμί χαίρω Ἀθήνη χαίρω Διογενής τέκνον,,91.0
Αἴας,ὡς εὖ παρέστης: καί σε παγχρύσοις ἐγὼ,ὅς εὖ παρίστημι καί σός πάγχρυσος ἐγώ,,92.0
