Name,Speech,Lemmas,verse_number,inferred_verse_number
Ἠλέκτρα,"ἰὼ παντλάμων Νιόβα, σὲ δ᾽ ἔγωγε νέμω θεόν,",Ἰώ παντλήμων Νιόβη σός δέ ἐγώ νέμω θέω,150,150.0
Ἠλέκτρα,ἅτ᾽ ἐν τάφῳ πετραίῳ,ἅτε ἐν Τάφος πετραῖος,,151.0
Ἠλέκτρα,αἰεὶ δακρύεις.,ἀεί δακρύω,,152.0
Χορός,"οὔτοι σοὶ μούνᾳ, τέκνον,",οὔτοι σός μόνος τέκνον,,153.0
Χορός,"ἄχος ἐφάνη βροτῶν,",ἄχος φαίνω βρότος,155,155.0
Χορός,"πρὸς ὅ τι σὺ τῶν ἔνδον εἶ περισσά,",πρός ὅς τίς σύ ὁ ἔνδον εἰ περιίζομαι,,156.0
Χορός,"οἷς ὁμόθεν εἶ καὶ γονᾷ ξύναιμος,",ὅς ὁμόθεν εἰ καί γονάω σύναιμος,,157.0
Χορός,"οἵα Χρυσόθεμις ζώει καὶ Ἰφιάνασσα,",οἷος Χρυσόθεμις ζώω καί,,158.0
Χορός,"κρυπτᾷ τ᾽ ἀχέων ἐν ἥβᾳ,",κρύπτης σύ ἄχος ἐν ἥβη,,159.0
Χορός,"ὄλβιος, ὃν ἁ κλεινὰ",ὄλβιος ὅς ὅς κλεινός,160,160.0
Χορός,γᾶ ποτε Μυκηναίων,γε πότε Μυκηναῖος,,161.0
Χορός,"δέξεται εὐπατρίδαν, Διὸς εὔφρονι",δέχομαι εὐπατρίδης Δῖος εὔφρων,,162.0
Χορός,βήματι μολόντα τάνδε γᾶν Ὀρέσταν.,βῆμα βλώσκω ὅδε γῆ Ὀρέστης,,163.0
Ἠλέκτρα,"ὅν γ᾽ ἐγὼ ἀκάματα προσμένουσ᾽, ἄτεκνος,",ὅς γε ἐγώ ἀκάματος προσμένω ἄτεκνος,,164.0
Ἠλέκτρα,"τάλαιν᾽, ἀνύμφευτος αἰὲν οἰχνῶ,",τάλας ἀνύμφευτος ἀεί οἰχνέω,165,165.0
Ἠλέκτρα,"δάκρυσι μυδαλέα, τὸν ἀνήνυτον",δάκρυον μυδαλέος ὁ ἀνήνυτος,,166.0
Ἠλέκτρα,οἶτον ἔχουσα κακῶν: ὁ δὲ λάθεται,οἶτος ἔχω κάκη ὅς δέ λανθάνω,,167.0
Ἠλέκτρα,ὧν τ᾽ ἔπαθ᾽ ὧν τ᾽ ἐδάη. τί γὰρ οὐκ ἐμοὶ,ὅς σύ πάσχω ὅς σύ δάω τίς γάρ οὐ ἐγώ,,168.0
Ἠλέκτρα,ἔρχεται ἀγγελίας ἀπατώμενον;,ἔρχομαι ἀγγελία ἀπατάω,170,170.0
Ἠλέκτρα,"ἀεὶ μὲν γὰρ ποθεῖ,",ἀεί μέν γάρ ποθέω,,171.0
Ἠλέκτρα,ποθῶν δ᾽ οὐκ ἀξιοῖ φανῆναι.,πόθος δέ οὐ ἄξιος φαίνω,,172.0
Χορός,"θάρσει μοι, θάρσει, τέκνον.",θάρσος ἐγώ θάρσος τέκνον,,173.0
Χορός,ἔτι μέγας οὐρανῷ,ἔτι Μέγης οὐρανός,175,175.0
Χορός,"Ζεύς, ὃς ἐφορᾷ πάντα καὶ κρατύνει:",Ζεύς ὅς ἐφοράω πάντῃ καί κρατύνω,,176.0
Χορός,ᾧ τὸν ὑπεραλγῆ χόλον νέμουσα,ὅς ὁ ὑπεραλγέω χόλος νέμω,,177.0
Χορός,μήθ᾽ οἷς ἐχθαίρεις ὑπεράχθεο μήτ᾽ ἐπιλάθου:,μάομαι ὅς ἐχθαίρω ὑπεράχθομαι μάομαι ἐπιλανθάνομαι,,178.0
Χορός,χρόνος γὰρ εὐμαρὴς θεός.,χρόνος γάρ εὐμαρέω θεός,,179.0
Χορός,οὔτε γὰρ ὁ τὰν Κρῖσαν,οὔτε γάρ ὅς ὁ Κρῖσα,180,180.0
Χορός,βούνομον ἔχων ἀκτὰν,βούνομος ἔχω ἀκτάζω,,181.0
Χορός,παῖς Ἀγαμεμνονίδας ἀπερίτροπος,πᾶς Ἀγαμεμνονίδης ἀπερίτροπος,,182.0
Χορός,οὔθ᾽ ὁ παρὰ τὸν Ἀχέροντα θεὸς ἀνάσσων.,οὔτε ὅς παρά ὁ Ἀχέρων θεός ἄνασσα,,183.0
Ἠλέκτρα,ἀλλ᾽ ἐμὲ μὲν ὁ πολὺς ἀπολέλοιπεν ἤδη,ἄλλος ἐγώ μέν ὅς πολύς ἀπολιμπάνω ἤδη,185,185.0
