Name,Speech,Lemmas,verse_number,inferred_verse_number
Οἰδίπους,κἀπὶ σμικροῖς μέγας ὥρμουν.,ἐπί μικρός Μέγης ὁρμάω,,148.0
Χορός,"ἐή, ἀλαῶν ὀμμάτων",ἐάω ἄλη ὄμμα,,149.0
Χορός,ἆρα καὶ ἦσθα φυτάλμιος; δυσαίων,ἄρα καί εἰμί φυτάλμιος δυσαής,150,150.0
Χορός,"μακραίων γ᾽, ὅσ᾽ ἐπεικάσαι.",μακραίων γε ὅσος ἐπεικάζω,,151.0
Χορός,ἀλλ᾽ οὐ μὰν ἔν γ᾽ ἐμοὶ,ἄλλος οὐ μήν ἐν γε ἐγώ,,152.0
Χορός,προσθήσει τάσδ᾽ ἀράς.,προσθέω ὅδε ἀρά,,153.0
Χορός,"περᾷς γάρ, περᾷς:  ἀλλ᾽ ἵνα τῷδ᾽ ἐν ἀ-",πέρα γάρ πέρα ἄλλος ἵνα ὅδε ἐν ἆ,155,155.0
Χορός,φθέγκτῳ μὴ προπέσῃς νάπει,φθεγκτός μή προπίτνω νάπος,,156.0
Χορός,"ποιάεντι, κάθυδρος οὗ",ποιήεις κάθυδρος ἕ,,157.0
Χορός,κρατὴρ μειλιχίων ποτῶν,κρατήρ μειλίχιος πότης,,158.0
Χορός,"ῥεύματι συντρέχει,",ῥεῦμα συντρέχω,160,160.0
Χορός,"τόν, ξένε πάμμορ᾽, εὖ φύλαξαι;",ὁ ξένος πάμμορος εὖ φυλάσσω,,161.0
Χορός,μετάσταθ᾽ ἀπόβαθι.  πολ-,μεθίστημι ἀποβαίνω,,162.0
Χορός,λὰ κέλευθος ἐρατύει:,λάω κέλευθος ἐρητύω,,163.0
Χορός,"κλύεις, ὦ πολύμοχθ᾽ ἀλᾶτα;",κλύω εἰμί πολύμοχθος ἀλήτης,165,165.0
Χορός,λόγον εἴ τιν᾽ οἴσεις,λόγος εἰ τίνω φέρω,,166.0
Χορός,"πρὸς ἐμὰν λέσχαν, ἀβάτων ἀποβάς,",πρός ἐμός λέσχη ἄβατος ἀποβαίνω,,167.0
Χορός,"ἵνα πᾶσι νόμος,",ἵνα πᾶς νόμος,,168.0
Χορός,φώνει:  πρόσθεν δ᾽ ἀπερύκου.,φωνέω πρόσθεν δέ ἀπερύκω,,169.0
Οἰδίπους,"θύγατερ, ποῖ τις φροντίδος ἔλθῃ;",θυγάτηρ ποι τίς φροντίς ἔρχομαι,170,170.0
Ἀντιγόνη,"ὦ πάτερ, ἀστοῖς ἴσα χρὴ μελετᾶν,",εἰμί πατήρ ἀστός ἴσος χράω μελέτη,,171.0
Ἀντιγόνη,εἴκοντας ἃ δεῖ κἀκούοντας.,εἴκω ὅς Δεύς ἀκούω,,172.0
Οἰδίπους,πρόσθιγέ νύν μου.,προσθιγγάνω νῦν ἐγώ,,173.0
Ἀντιγόνη,ψαύω καὶ δή.,ψαύω καί Δεύς,,174.0
