Name,Speech,Lemmas,verse_number,inferred_verse_number
Ἰσμήνη,τρίτον δ᾽ ἀδελφὼ δύο μίαν καθ᾽ ἡμέραν,τρίτος δέ ἀδελφός δύο εἷς κάτος ἥμερος,55,55.0
Ἰσμήνη,αὐτοκτονοῦντε τὼ ταλαιπώρω μόρον,αὐτοκτονέω ὁ ταλαίπωρος μόρον,,56.0
Ἰσμήνη,κοινὸν κατειργάσαντ᾽ ἐπαλλήλοιν χεροῖν.,κοινός κατεργάζομαι ἐπάλληλος χείρ,,57.0
Ἰσμήνη,νῦν δ᾽ αὖ μόνα δὴ νὼ λελειμμένα σκόπει,νῦν δέ αὗ μόνος Δεύς ἐγώ λείπω σκοπάω,,58.0
Ἰσμήνη,"ὅσῳ κάκιστ᾽ ὀλούμεθ᾽, εἰ νόμου βίᾳ",ὅσος κακός ὄλλυμι εἰ νόμος βία,,59.0
Ἰσμήνη,ψῆφον τυράννων ἢ κράτη παρέξιμεν.,ψῆφος τύραννος εἰμί κράτος παρέξειμι,60,60.0
Ἰσμήνη,ἀλλ᾽ ἐννοεῖν χρὴ τοῦτο μὲν γυναῖχ᾽ ὅτι,ἄλλος ἐννοέω χράω οὗτος μέν γυνή ὅστις,,61.0
Ἰσμήνη,"ἔφυμεν, ὡς πρὸς ἄνδρας οὐ μαχουμένα.",φύω ὅς πρός ἀνήρ οὐ μάχομαι,,62.0
Ἰσμήνη,"ἔπειτα δ᾽ οὕνεκ᾽ ἀρχόμεσθ᾽ ἐκ κρεισσόνων,",ἔπειτα δέ οὕνεκα ἄρχω ἐκ κρείσσων,,63.0
Ἰσμήνη,καὶ ταῦτ᾽ ἀκούειν κἄτι τῶνδ᾽ ἀλγίονα.,καί οὗτος ἀκούω ἔτι ὅδε ἀλγίων,,64.0
Ἰσμήνη,ἐγὼ μὲν οὖν αἰτοῦσα τοὺς ὑπὸ χθονὸς,ἐγώ μέν οὖν αἰτέω ὁ ὑπό χθών,65,65.0
Ἰσμήνη,"ξύγγνοιαν ἴσχειν, ὡς βιάζομαι τάδε,",σύγγνοια ἴσχω ὅς βιάζω ὅδε,,66.0
Ἰσμήνη,τοῖς ἐν τέλει βεβῶσι πείσομαι:  τὸ γὰρ,ὁ ἐν τέλλω βαίνω πάσχω ὁ γάρ,,67.0
Ἰσμήνη,περισσὰ πράσσειν οὐκ ἔχει νοῦν οὐδένα.,περιίζομαι πράσσω οὐ ἔχις νέω οὐδείς,,68.0
Ἀντιγόνη,"οὔτ᾽ ἂν κελεύσαιμ᾽ οὔτ᾽ ἄν, εἰ θέλοις ἔτι",οὔτε ἄν κελεύω οὔτε ἄν εἰ ἐθέλω ἔτι,,69.0
Ἀντιγόνη,"πράσσειν, ἐμοῦ γ᾽ ἂν ἡδέως δρῴης μέτα.",πράσσω ἐγώ γε ἄν ἡδέως δράω μετά,70,70.0
Ἀντιγόνη,"ἀλλ᾽ ἴσθ᾽ ὁποῖά σοι δοκεῖ, κεῖνον δ᾽ ἐγὼ",ἄλλος εἰμί ὁποῖος σός δοκέω ἐκεῖνος δέ ἐγώ,,71.0
Ἀντιγόνη,θάψω: καλόν μοι τοῦτο ποιούσῃ θανεῖν.,θάπτω κάλως ἐγώ οὗτος ποιέω θνήσκω,,72.0
Ἀντιγόνη,"φίλη μετ᾽ αὐτοῦ κείσομαι, φίλου μέτα,",φίλος μετά αὐτός κεῖμαι φίλος μετά,,73.0
Ἀντιγόνη,ὅσια πανουργήσασ᾽.  ἐπεὶ πλείων χρόνος,ὅσιος πανουργέω ἔπειμι πλέω χρόνος,,74.0
Ἀντιγόνη,ὃν δεῖ μ᾽ ἀρέσκειν τοῖς κάτω τῶν ἐνθάδε.,ὅς Δεύς ἐγώ ἀρέσκω ὁ κάτος ὁ ἐνθάδε,75,75.0
Ἀντιγόνη,"ἐκεῖ γὰρ αἰεὶ κείσομαι:  σοὶ δ᾽, εἰ δοκεῖ,",ἐκεῖ γάρ ἀεί κεῖμαι σός δέ εἰ δοκέω,,76.0
Ἀντιγόνη,τὰ τῶν θεῶν ἔντιμ᾽ ἀτιμάσασ᾽ ἔχε.,ὁ ὁ θέα ἔντιμος ἀτιμάω ἔχω,,77.0
Ἰσμήνη,"ἐγὼ μὲν οὐκ ἄτιμα ποιοῦμαι, τὸ δὲ",ἐγώ μέν οὐ ἄτιμος ποιέω ὁ δέ,,78.0
Ἰσμήνη,βίᾳ πολιτῶν δρᾶν ἔφυν ἀμήχανος.,βία πολίτης δράω φύω ἀμήχανος,,79.0
Ἀντιγόνη,σὺ μὲν τάδ᾽ ἂν προὔχοι᾽:  ἐγὼ δὲ δὴ τάφον,σύ μέν ὅδε ἄν προέχω ἐγώ δέ Δεύς Τάφος,80,80.0
Ἀντιγόνη,χώσουσ᾽ ἀδελφῷ φιλτάτῳ πορεύσομαι.,χόω ἀδελφός φίλτατος πορεύω,,81.0
Ἰσμήνη,"οἴμοι ταλαίνης, ὡς ὑπερδέδοικά σου.",οἴμοι τάλας ὅς ὑπερδείδω σεύω,,82.0
Ἀντιγόνη,μὴ 'μοῦ προτάρβει:  τὸν σὸν ἐξόρθου πότμον.,μή ἐγώ προταρβέω ὁ σός ἔξορθος πότμος,,83.0
Ἰσμήνη,ἀλλ᾽ οὖν προμηνύσῃς γε τοῦτο μηδενὶ,ἄλλος οὖν προμηνύω γε οὗτος μηδείς,,84.0
Ἰσμήνη,"τοὔργον, κρυφῇ δὲ κεῦθε, σὺν δ᾽ αὔτως ἐγώ.",ἔργνυμι κρύφω δέ κεύθω σύν δέ αὔτως ἐγώ,85,85.0
Ἀντιγόνη,"οἴμοι, καταύδα:  πολλὸν ἐχθίων ἔσει",οἴμοι καταυδάω πολύς ἔχθος εἴσειμι,,86.0
Ἀντιγόνη,"σιγῶσ᾽, ἐὰν μὴ πᾶσι κηρύξῃς τάδε.",σιγάω ἐάν μή πᾶς κηρύσσω ὅδε,,87.0
Ἰσμήνη,θερμὴν ἐπὶ ψυχροῖσι καρδίαν ἔχεις.,θέρμα ἐπί ψυχρός καρδία ἔχις,,88.0
Ἀντιγόνη,ἀλλ᾽ οἶδ᾽ ἀρέσκουσ᾽ οἷς μάλισθ᾽ ἁδεῖν με χρή.,ἄλλος οἶδα ἀρέσκω ὅς μάλιστα ἁνδάνω ἐγώ χράω,,89.0
