Name,Speech,Lemmas,verse_number,inferred_verse_number
Νεοπτόλεμος,"θηρατέ᾽ οὖν γίγνοιτ᾽ ἄν, εἴπερ ὧδ᾽ ἔχει.",θηρατέος οὖν γίγνομαι ἄν εἴπερ ὧδε ἔχις,,116.0
Ὀδυσσεύς,ὡς τοῦτό γ᾽ ἔρξας δύο φέρει δωρήματα.,ὅς οὗτος γε ἔρδω δύο φέρω δώρημα,,117.0
Νεοπτόλεμος,ποίω; μαθὼν γὰρ οὐκ ἂν ἀρνοίμην τὸ δρᾶν.,ποῖος μάθη γάρ οὐ ἄν ἀρνέομαι ὁ δράω,,118.0
Ὀδυσσεύς,σοφός τ᾽ ἂν αὑτὸς κἀγαθὸς κεκλῇ᾽ ἅμα.,σοφός σύ ἄν αὐτός ἀγαθός κλείω ἅμα,,119.0
Νεοπτόλεμος,"ἴτω: ποήσω, πᾶσαν αἰσχύνην ἀφείς.",εἶμι ποιέω πάσσω αἰσχύνη ἀφίημι,120,120.0
Ὀδυσσεύς,ἦ μνημονεύεις οὖν ἅ σοι παρῄνεσα;,εἰμί μνημονεύω οὖν ὅς σός παραινέω,,121.0
Νεοπτόλεμος,"σάφ᾽ ἴσθ᾽, ἐπείπερ εἰσάπαξ συνῄνεσα.",σάφα εἰμί ἐπεί εἰσάπαξ συναινέω,,122.0
Ὀδυσσεύς,"σὺ μὲν μένων νυν κεῖνον ἐνθάδ᾽ ἐκδέχου,",σύ μέν Μένων νῦν ἐκεῖνος ἐνθάδε ἐκδέχομαι,,123.0
Ὀδυσσεύς,"ἐγὼ δ᾽ ἄπειμι, μὴ κατοπτευθῶ παρών,",ἐγώ δέ ἄπειμι μή κατοπτεύω πάρειμι,,124.0
Ὀδυσσεύς,καὶ τὸν σκοπὸν πρὸς ναῦν ἀποστελῶ πάλιν.,καί ὁ σκοπός πρός ναῦς ἀποστέλλω πάλιν,125,125.0
Ὀδυσσεύς,"καὶ δεῦρ᾽, ἐάν μοι τοῦ χρόνου δοκῆτέ τι",καί δεῦρο ἐάν ἐγώ ὁ χρόνος δοκάζω τίς,,126.0
Ὀδυσσεύς,"κατασχολάζειν, αὖθις ἐκπέμψω πάλιν",κατασχολάζω αὖθις ἐκπέμπω πάλιν,,127.0
Ὀδυσσεύς,"τοῦτον τὸν αὐτὸν ἄνδρα, ναυκλήρου τρόποις",οὗτος ὁ αὐτός ἀνήρ ναύκληρος τρόπος,,128.0
Ὀδυσσεύς,"μορφὴν δολώσας, ὡς ἂν ἀγνοία προσῇ:",μορφάω δολόω ὅς ἄν ἄγνοια πρόσειμι,,129.0
Ὀδυσσεύς,"οὗ δῆτα, τέκνον, ποικίλως αὐδωμένου",ἕ δῆτα τέκνον ποικίλος αὐδάω,130,130.0
Ὀδυσσεύς,δέχου τὰ συμφέροντα τῶν ἀεὶ λόγων.,δέχομαι ὁ συμφέρω ὁ ἀεί λόγος,,131.0
Ὀδυσσεύς,"ἐγὼ δὲ πρὸς ναῦν εἶμι, σοὶ παρεὶς τάδε:",ἐγώ δέ πρός ναῦς εἶμι σός πάρειμι ὅδε,,132.0
Ὀδυσσεύς,Ἑρμῆς δ᾽ ὁ πέμπων δόλιος ἡγήσαιτο νῷν,Ἑρμῆς δέ ὅς πέμπω Δόλιος ἡγέομαι ἐγώ,,133.0
Ὀδυσσεύς,"Νίκη τ᾽ Ἀθάνα Πολιάς, ἣ σῴζει μ᾽ ἀεί.",Νικεύς σύ Ἀθήνη Πολιάς ἧ σώζω ἐγώ ἀεί,,134.0
Χορός,"τί χρὴ τί χρή με, δέσποτ᾽, ἐν ξένᾳ ξένον",τίς χράω τίς χράω ἐγώ δεσπότης ἐν ξένη ξένος,135,135.0
Χορός,στέγειν ἢ τί λέγειν πρὸς ἄνδρ᾽ ὑπόπταν;,στέγω εἰμί τίς λέγω πρός ἀνδρίς ὑπόπτης,,136.0
Χορός,φράζε μοι.  τέχνα γὰρ,φράζω ἐγώ τέχνη γάρ,,137.0
Χορός,τέχνας ἑτέρας προύχει,τέχνη ἕτερος,,138.0
Χορός,καὶ γνώμα παρ᾽ ὅτῳ τὸ θεῖον,καί γνώμη Πάρις ὅστις ὁ θέω,,139.0
Χορός,Διὸς σκῆπτρον ἀνάσσεται.,Δῖος σκῆπτρον ἀνάσσω,140,140.0
Χορός,"σὲ δ᾽, ὦ τέκνον, τόδ᾽ ἐλήλυθεν",σός δέ εἰμί τέκνον ὅδε ἔρχομαι,,141.0
Χορός,πᾶν κράτος ὠγύγιον: τό μοι ἔννεπε,Πάν Κράτης Ὠγύγιος ὁ ἐγώ ἐνέπω,,142.0
Χορός,τί σοι χρεὼν ὑπουργεῖν.,τίς σός χράω2 ὑπουργέω,,143.0
Νεοπτόλεμος,"νῦν μέν, ἴσως γὰρ τόπον ἐσχατιαῖς",νῦν μέν ἴσος γάρ τόπος ἐσχατιά,,144.0
Νεοπτόλεμος,"προσιδεῖν ἐθέλεις ὅντινα κεῖται,",προσεῖδον ἐθέλω ὅστις κέω,145,145.0
Νεοπτόλεμος,δέρκου θαρσῶν: ὁπόταν δὲ μόλῃ,δέρκομαι θάρσος ὁπόταν δέ βλώσκω,,146.0
Νεοπτόλεμος,"δεινὸς ὁδίτης, τῶνδ᾽ οὑκ μελάθρων",δεῖνα ὁδίτης ὅδε ἐκ μέλαθρον,,147.0
Νεοπτόλεμος,πρὸς ἐμὴν αἰεὶ χεῖρα προχωρῶν,πρός ἐμέω ἀεί χείρ προχωρέω,,148.0
Νεοπτόλεμος,πειρῶ τὸ παρὸν θεραπεύειν.,πείρω ὁ πάρειμι θεραπεύω,,149.0
Χορός,"μέλον πάλαι μέλημά μοι λέγεις, ἄναξ,",μέλω πάλα μέλημα ἐγώ λέγω Ἄνακες,150,150.0
Χορός,φρουρεῖν ὄμμ᾽ ἐπὶ σῷ μάλιστα καιρῷ:,φρουρέω ὄμμα ἐπί σός μάλιστα καῖρος,,151.0
Χορός,"νῦν δέ μοι λέγ᾽, αὐλὰς",νῦν δέ ἐγώ λέγος αὐλή,,152.0
Χορός,ποίας ἔνεδρος ναίει,Ποίας ἔνεδρος ναίω,,153.0
Χορός,καὶ χῶρον τίν᾽ ἔχει.  τὸ γάρ μοι,καί Χῶρος τίνω ἔχις ὁ γάρ ἐγώ,,154.0
Χορός,"μαθεῖν οὐκ ἀποκαίριον,",μανθάνω οὐ ἀποκαίριος,155,155.0
