Name,Speech,verse_number,inferred_verse_number,lemmata
Χορός,"κρυπτᾷ τ᾽ ἀχέων ἐν ἥβᾳ,",,159.0,κρυπτός τ ἄχος ἐν ἥβη
Χορός,"ὄλβιος, ὃν ἁ κλεινὰ",160.0,160.0,ὄλβιος ὅς ὁ κλεινός
Χορός,γᾶ ποτε Μυκηναίων,,161.0,γῆ ποτέ Μυκηναῖος
Χορός,"δέξεται εὐπατρίδαν, Διὸς εὔφρονι",,162.0,δέχομαι εὐπατρίδης Ζεύς εὔφρων
Χορός,βήματι μολόντα τάνδε γᾶν Ὀρέσταν.,,163.0,βῆμα βλώσκω ὅδε γῆ Ὀρέστης
Ἠλέκτρα,"ὅν γ᾽ ἐγὼ ἀκάματα προσμένουσ᾽, ἄτεκνος,",,164.0,ὅς γε ἐγώ ἀκάματος προσμένουσ ἄτεκνος
Ἠλέκτρα,"τάλαιν᾽, ἀνύμφευτος αἰὲν οἰχνῶ,",165.0,165.0,τάλαιν ἀνύμφευτος ἀεί οἰχνέω
Ἠλέκτρα,"δάκρυσι μυδαλέα, τὸν ἀνήνυτον",,166.0,δάκρυον μυδαλέος ὁ ἀνήνυτος
Ἠλέκτρα,οἶτον ἔχουσα κακῶν: ὁ δὲ λάθεται,,167.0,οἶτος ἔχω κακός ὁ δέ λανθάνω
Ἠλέκτρα,ὧν τ᾽ ἔπαθ᾽ ὧν τ᾽ ἐδάη. τί γὰρ οὐκ ἐμοὶ,,168.0,ὅς τ ἔπαθ ὅς τ δάω τίς γάρ οὐ ἐγώ
Ἠλέκτρα,ἔρχεται ἀγγελίας ἀπατώμενον;,170.0,170.0,ἔρχομαι ἀγγελία ἀπατάω
Ἠλέκτρα,"ἀεὶ μὲν γὰρ ποθεῖ,",,171.0,ἀεί μέν γάρ ποθέω
Ἠλέκτρα,ποθῶν δ᾽ οὐκ ἀξιοῖ φανῆναι.,,172.0,ποθέω δ οὐ ἀξιόω φαίνω
Χορός,"θάρσει μοι, θάρσει, τέκνον.",,173.0,θαρσέω ἐγώ θαρσέω τέκνον
Χορός,ἔτι μέγας οὐρανῷ,175.0,175.0,ἔτι μέγας οὐρανός
Χορός,"Ζεύς, ὃς ἐφορᾷ πάντα καὶ κρατύνει:",,176.0,Ζεύς ὅς ἐφοράω πᾶς καί κρατύνω
Χορός,ᾧ τὸν ὑπεραλγῆ χόλον νέμουσα,,177.0,ὅς ὁ ὑπεραλγής χόλος νέμω
Χορός,μήθ᾽ οἷς ἐχθαίρεις ὑπεράχθεο μήτ᾽ ἐπιλάθου:,,178.0,μήθ ὅς ἐχθαίρω ὑπεράχθομαι μήτ ἐπιλήθω
Χορός,χρόνος γὰρ εὐμαρὴς θεός.,,179.0,χρόνος γάρ εὐμαρής θεός
Χορός,οὔτε γὰρ ὁ τὰν Κρῖσαν,180.0,180.0,οὔτε γάρ ὁ ὁ Κρῖσα
Χορός,βούνομον ἔχων ἀκτὰν,,181.0,βούνομος ἔχω ἀκτή
Χορός,παῖς Ἀγαμεμνονίδας ἀπερίτροπος,,182.0,παῖς Ἀγαμεμνονίδης ἀπερίτροπος
Χορός,οὔθ᾽ ὁ παρὰ τὸν Ἀχέροντα θεὸς ἀνάσσων.,,183.0,οὔθ ὁ παρά ὁ Ἀχέρων θεός ἀνάσσω
Ἠλέκτρα,ἀλλ᾽ ἐμὲ μὲν ὁ πολὺς ἀπολέλοιπεν ἤδη,185.0,185.0,ἀλλ ἐγώ μέν ὁ πολύς ἀπολείπω ἤδη
Ἠλέκτρα,"βίοτος ἀνέλπιστος, οὐδ᾽ ἔτ᾽ ἀρκῶ:",,186.0,βίοτος ἀνέλπιστος οὐδ ἔτ ἀρκέω
Ἠλέκτρα,"ἅτις ἄνευ τεκέων κατατάκομαι,",,187.0,ὅστις ἄνευ τέκος κατατήκω
Ἠλέκτρα,"ἇς φίλος οὔτις ἀνὴρ ὑπερίσταται,",,188.0,ὅς φίλος οὔτις ἀνήρ ὑπερίσταμαι
Ἠλέκτρα,ἀλλ᾽ ἁπερεί τις ἔποικος ἀναξία,,189.0,ἀλλ ἁπερεί τις ἔποικος ἀνάξιος
Ἠλέκτρα,"οἰκονομῶ θαλάμους πατρός, ὧδε μὲν",190.0,190.0,οἰκονομέω θάλαμος πατήρ ὧδε μέν
Ἠλέκτρα,"ἀεικεῖ σὺν στολᾷ,",,191.0,ἀεικής σύν στολή
Ἠλέκτρα,κεναῖς δ᾽ ἀμφίσταμαι τραπέζαις.,,192.0,κενός δ ἀμφίστημι τράπεζα
Χορός,"οἰκτρὰ μὲν νόστοις αὐδά,",,193.0,οἰκτρός μέν νόστος αὐδή
Χορός,οἰκτρὰ δ᾽ ἐν κοίταις πατρῴαις,,194.0,οἰκτρός δ ἐν κοίτη πατρῷος
Χορός,ὅτε οἱ παγχάλκων ἀνταία,195.0,195.0,ὅτε ὁ πάγχαλκος ἀνταῖος
Χορός,γενύων ὡρμάθη πλαγά.,,196.0,γένυς ὁρμάω πληγή
Χορός,"δόλος ἦν ὁ φράσας, ἔρος ὁ κτείνας,",,197.0,δόλος εἰμί ὁ φράζω ἔρος ὁ κτείνω
Χορός,δεινὰν δεινῶς προφυτεύσαντες,,198.0,δεινός δεινός προφυτεύω
Χορός,"μορφάν, εἴτ᾽ οὖν θεὸς εἴτε βροτῶν",,199.0,μορφή εἴτ οὖν θεός εἴτε βροτός
Χορός,ἦν ὁ ταῦτα πράσσων.,200.0,200.0,εἰμί ὁ οὗτος πράσσω
