Name,Speech,verse_number,inferred_verse_number,lemmata
Ἀθήνα,"ποίμνας τε πάσας εἰς δόμους κομίζεται,",,63.0,ποίμνη τε πᾶς εἰς δόμος κομίζω
Ἀθήνα,"ὡς ἄνδρας, οὐχ ὡς εὔκερων ἄγραν ἔχων,",,64.0,ὡς ἀνήρ οὐ ὡς εὐκέραος ἄγρα ἔχω
Ἀθήνα,καὶ νῦν κατ᾽ οἴκους συνδέτους αἰκίζεται.,65.0,65.0,καί νῦν κατά οἶκος σύνδετος αἰκίζω
Ἀθήνα,"δείξω δὲ καὶ σοὶ τήνδε περιφανῆ νόσον,",,66.0,δείκνυμι δέ καί σύ ὅδε περιφανής νόσος
Ἀθήνα,ὡς πᾶσιν Ἀργείοισιν εἰσιδὼν θροῇς.,,67.0,ὡς πᾶς Ἀργεῖος εἰσοράω θροέω
Ἀθήνα,θαρσῶν δὲ μίμνε μηδὲ συμφορὰν δέχου,,68.0,θαρσέω δέ μίμνω μηδέ συμφορά δέχομαι
Ἀθήνα,τὸν ἄνδρ᾽: ἐγὼ γὰρ ὀμμάτων ἀποστρόφους,,69.0,ὁ ἄνδρ ἐγώ γάρ ὄμμα ἀπόστροφος
Ἀθήνα,αὐγὰς ἀπείρξω σὴν πρόσοψιν εἰσιδεῖν.,70.0,70.0,αὐγή ἀπείργω σός πρόσοψις εἰσοράω
Ἀθήνα,"οὗτος, σὲ τὸν τὰς αἰχμαλωτίδας χέρας",,71.0,οὗτος σύ ὁ ὁ αἰχμαλωτίς χείρ
Ἀθήνα,δεσμοῖς ἀπευθύνοντα προσμολεῖν καλῶ:,,72.0,δεσμός ἀπευθύνω προσμολεῖν καλέω
Ἀθήνα,Αἴαντα φωνῶ: στεῖχε δωμάτων πάρος.,,73.0,Αἴας φωνέω στείχω δῶμα πάρος
Ὀδυσσεύς,"τί δρᾷς, Ἀθάνα; μηδαμῶς σφ᾽ ἔξω κάλει.",,74.0,τίς δράω Ἀθήνη μηδαμῶς σφ ἔξω καλέω
Ἀθήνα,οὐ σῖγ᾽ ἀνέξει μηδὲ δειλίαν ἀρεῖ;,75.0,75.0,οὐ σῖγ ἀνέχω μηδέ δειλία αἴρω
Ὀδυσσεύς,"μὴ πρὸς θεῶν, ἀλλ᾽ ἔνδον ἀρκείτω μένων.",,76.0,μή πρός θεός ἀλλ ἔνδον ἀρκέω μένω
Ἀθήνα,τί μὴ γένηται; πρόσθεν οὐκ ἀνὴρ ὅδ᾽ ἦν;,,77.0,τίς μή γίγνομαι πρόσθεν οὐ ἀνήρ ὅδ εἰμί
Ὀδυσσεύς,ἐχθρός γε τῷδε τἀνδρὶ καὶ τανῦν ἔτι.,,78.0,ἐχθρός γε ὅδε ἀνήρ καί τανῦν ἔτι
Ἀθήνα,οὔκουν γέλως ἥδιστος εἰς ἐχθροὺς γελᾶν;,,79.0,οὔκουν γέλως ἡδύς εἰς ἐχθρός γελάω
Ὀδυσσεύς,ἐμοὶ μὲν ἀρκεῖ τοῦτον ἐν δόμοις μένειν.,80.0,80.0,ἐγώ μέν ἀρκέω οὗτος ἐν δόμος μένω
Ἀθήνα,μεμηνότ᾽ ἄνδρα περιφανῶς ὀκνεῖς ἰδεῖν;,,81.0,μεμηνότ ἀνήρ περιφανής ὀκνέω εἶδον
Ὀδυσσεύς,φρονοῦντα γάρ νιν οὐκ ἂν ἐξέστην ὄκνῳ.,,82.0,φρονέω γάρ νιν οὐ ἄν ἐξίστημι ὄκνος
Ἀθήνα,ἀλλ᾽ οὐδὲ νῦν σε μὴ παρόντ᾽ ἴδῃ πέλας.,,83.0,ἀλλ οὐδέ νῦν σύ μή παρόντ εἶδον πέλας
Ὀδυσσεύς,"πῶς, εἴπερ ὀφθαλμοῖς γε τοῖς αὐτοῖς ὁρᾷ;",,84.0,πῶς εἴπερ ὀφθαλμός γε ὁ αὐτός ὁράω
Ἀθήνα,ἐγὼ σκοτώσω βλέφαρα καὶ δεδορκότα.,85.0,85.0,ἐγώ σκοτόω βλέφαρον καί δέρκομαι
Ὀδυσσεύς,γένοιτο μέντἂν πᾶν θεοῦ τεχνωμένου.,,86.0,γίγνομαι μέντοι πᾶς θεός τεχνάομαι
Ἀθήνα,σίγα νυν ἑστὼς καὶ μέν᾽ ὡς κυρεῖς ἔχων.,,87.0,σιγάω νῦν ἵστημι καί μέν ὡς κυρέω ἔχω
Ὀδυσσεύς,μένοιμ᾽ ἄν: ἤθελον δ᾽ ἂν ἐκτὸς ὢν τυχεῖν.,,88.0,μένοιμ ἀνά ἐθέλω δ ἄν ἐκτός εἰμί τυγχάνω
Ἀθήνα,"ὦ οὕτος, Αἴας, δεύτερόν σε προσκαλῶ.",,89.0,ὦ οὗτος Αἴας δεύτερος σύ προσκαλέω
Ἀθήνα,τί βαιὸν οὕτως ἐντρέπει τῆς συμμάχου;,90.0,90.0,τίς βαιός οὕτως ἐντρέπω ὁ σύμμαχος
Αἴας,"ὦ χαῖρ᾽ Ἀθάνα, χαῖρε Διογενὲς τέκνον,",,91.0,ὦ χαῖρ Ἀθήνη χαίρω διογενής τέκνον
Αἴας,ὡς εὖ παρέστης: καί σε παγχρύσοις ἐγὼ,,92.0,ὡς εὖ παρίστημι καί σύ παγχρύσεος ἐγώ
Αἴας,στέψω λαφύροις τῆσδε τῆς ἄγρας χάριν.,,93.0,στέφω λάφυρα ὅδε ὁ ἄγρα χάρις
Ἀθήνα,"καλῶς ἔλεξας: ἀλλ᾽ ἐκεῖνό μοι φράσον,",,94.0,καλός λέγω ἀλλ ἐκεῖνος ἐγώ φράζω
Ἀθήνα,ἔβαψας ἔγχος εὖ πρὸς Ἀργείων στρατῷ;,95.0,95.0,βάπτω ἔγχος εὖ πρός Ἀργεῖος στρατός
