Name,Speech,verse_number,inferred_verse_number,lemmata
Οἰδίπους,"σημεῖα δ᾽ ἥξειν τῶνδέ μοι παρηγγύα,",,94.0,σημεῖον δ ἥκω ὅδε ἐγώ παρεγγυάω
Οἰδίπους,"ἢ σεισμὸν ἢ βροντήν τιν᾽ ἢ Διὸς σέλας,",95.0,95.0,ἤ σεισμός ἤ βροντή τιν ἤ Ζεύς σέλας
Οἰδίπους,ἔγνωκα μέν νυν ὥς με τήνδε τὴν ὁδὸν,,96.0,γιγνώσκω μέν νῦν ὡς ἐγώ ὅδε ὁ ὁδός
Οἰδίπους,οὐκ ἔσθ᾽ ὅπως οὐ πιστὸν ἐξ ὑμῶν πτερὸν,,97.0,οὐ εἰμί ὅπως οὐ πιστός ἐκ σύ πτερόν
Οἰδίπους,ἐξήγαγ᾽ εἰς τόδ᾽ ἄλσος:  οὐ γὰρ ἄν ποτε,,98.0,ἐξήγαγ εἰς τόδ ἄλσος  οὐ γάρ ἀνά ποτέ
Οἰδίπους,"πρώταισιν ὑμῖν ἀντέκυρσ᾽ ὁδοιπορῶν,",,99.0,πρότερος σύ ἀντέκυρσ ὁδοιπορέω
Οἰδίπους,"νήφων ἀοίνοις, κἀπὶ σεμνὸν ἑζόμην",100.0,100.0,νήφω ἄοινος ἐπί σεμνός ἕζομαι
Οἰδίπους,"βάθρον τόδ᾽ ἀσκέπαρνον.  ἀλλά μοι, θεαί,",,101.0,βάθρον τόδ ἀσκέπαρνος  ἀλλά ἐγώ θεά
Οἰδίπους,βίου κατ᾽ ὀμφὰς τὰς Ἀπόλλωνος δότε,,102.0,βίος κατά ὀμφὰς ὁ Ἀπόλλων δίδωμι
Οἰδίπους,"πέρασιν ἤδη καὶ καταστροφήν τινα,",,103.0,περάω1 ἤδη καί καταστροφή τις
Οἰδίπους,"εἰ μὴ δοκῶ τι μειόνως ἔχειν, ἀεὶ",,104.0,εἰ μή δοκέω τις μείων ἔχω ἀεί
Οἰδίπους,μόχθοις λατρεύων τοῖς ὑπερτάτοις βροτῶν.,105.0,105.0,μόχθος λατρεύω ὁ ὑπέρ βροτός
Οἰδίπους,"ἴτ᾽, ὦ γλυκεῖαι παῖδες ἀρχαίου Σκότου,",,106.0,εἶμι ὦ γλυκύς παῖς ἀρχαῖος Σκότου
Οἰδίπους,"ἴτ᾽, ὦ μεγίστης Παλλάδος καλούμεναι",,107.0,εἶμι ὦ μέγας Παλλάς καλέω
Οἰδίπους,"πασῶν Ἀθῆναι τιμιωτάτη πόλις,",,108.0,πᾶς Ἀθῆναι τίμιος πόλις
Οἰδίπους,οἰκτίρατ᾽ ἀνδρὸς Οἰδίπου τόδ᾽ ἄθλιον,,109.0,οἰκτίρατ ἀνήρ Οἰδίπους τόδ ἄθλιος
Οἰδίπους,εἴδωλον:  οὐ γὰρ δὴ τόδ᾽ ἀρχαῖον δέμας.,110.0,110.0,εἴδωλον  οὐ γάρ δή τόδ ἀρχαῖος δέμας
Ἀντιγόνη,σίγα:  πορεύονται γὰρ οἵδε δή τινες,,111.0,σιγάω  πορεύω γάρ ὅδε δή τις
Ἀντιγόνη,"χρόνῳ παλαιοί, σῆς ἕδρας ἐπίσκοποι.",,112.0,χρόνος παλαιός σός ἕδρα ἐπίσκοπος
Οἰδίπους,σιγήσομαί τε καὶ σύ μ᾽ ἐξ ὁδοῦ πόδα,,113.0,σιγήσομαί τε καί σύ μ ἐκ ὁδός πούς
Οἰδίπους,"κρύψον κατ᾽ ἄλσος, τῶνδ᾽ ἕως ἂν ἐκμάθω",,114.0,κρύπτω κατά ἄλσος τῶνδ ἕως ἄν ἐκμανθάνω
Οἰδίπους,τίνας λόγους ἐροῦσιν:  ἐν γὰρ τῷ μαθεῖν,115.0,115.0,τίς λόγος ἐρῶ  ἐν γάρ ὁ μανθάνω
Οἰδίπους,ἔνεστιν ηὑλάβεια τῶν ποιουμένων.,,116.0,ἔνειμι εὐλάβεια ὁ ποιέω
Χορός,ὅρα.  τίς ἄρ᾽ ἦν;  ποῦ ναίει;,,117.0,ὁράω  τις ἄρα εἰμί  ποῦ ναίω
Χορός,ποῦ κυρεῖ ἐκτόπιος συθεὶς ὁ πάντων,,118.0,ποῦ κυρέω ἐκτόπιος σεύω ὁ πᾶς
Χορός,ὁ πάντων ἀκορέστατος;,120.0,120.0,ὁ πᾶς ἀκόρεστος
Χορός,"προσδέρκου λεῦσσέ νιν,",,121.0,προσδέρκομαι λεῦσσέ νιν
Χορός,προσπεύθου πανταχῇ.,,122.0,προσπεύθομαι πανταχῆ
Χορός,πλανάτας πλανάτας τις ὁ πρέσβυς οὐδ᾽,,123.0,πλανήτης πλανήτης τις ὁ πρέσβυς οὐδ
Χορός,ἔγχωρος:  προσέβα γὰρ οὐκ,125.0,125.0,ἔγχωρος  προσβαίνω γάρ οὐ
Χορός,ἄν ποτ᾽ ἀστιβὲς ἄλσος ἐς,,126.0,ἀνά ποτ ἀστιβὲς ἄλσος εἰς
Χορός,"τᾶνδ᾽ ἀμαιμακετᾶν κορᾶν,",,127.0,τᾶνδ ἀμαιμάκετος κόρη
Χορός,ἃς τρέμομεν λέγειν,,128.0,ὅς τρέμω λέγω
Χορός,"καὶ παραμειβόμεσθ᾽ ἀδέρκτως,",130.0,130.0,καί παραμειβόμεσθ ἄδερκτος
Χορός,"ἀφώνως, ἀλόγως τὸ τᾶς.",,131.0,ἄφωνος ἄλογος ὁ ὁ
Χορός,εὐφάμου στόμα φροντίδος,,132.0,εὔφημος στόμα φροντίς
Χορός,"ἱέντες, τὰ δὲ νῦν τιν᾽ ἥκειν",,133.0,ἵημι ὁ δέ νῦν τιν ἥκω
Χορός,"λόγος οὐδὲν ἅζονθ᾽,",,134.0,λόγος οὐδείς ἅζονθ
Χορός,ὃν ἐγὼ λεύσσων περὶ πᾶν οὔπω,135.0,135.0,ὅς ἐγώ λεύσσω περί πᾶς οὔπω
Χορός,δύναμαι τέμενος,,136.0,δύναμαι τέμενος
