lemma,COUNT,MEAN,MAX,MIN,STD,LOW,HIGH,ALL,MIN_perc,LOW_perc,COUNT_perc,HIGH_perc,MAX_perc,title,lemma_lower
ἐμέω,18,18.0,34.0,7.0,4.34857653515698,9.0,27.0,8900,0.0007865168539325843,0.0010112359550561798,0.0020224719101123597,0.0030337078651685393,0.003820224719101124,Oedipus Tyrannus,ἐμέω
ὁράω,21,21.0,38.0,7.0,4.613391444412734,12.0,30.0,8900,0.0007865168539325843,0.001348314606741573,0.0023595505617977526,0.0033707865168539327,0.004269662921348315,Oedipus Tyrannus,ὁράω
ἁλίζω,1,1.0,5.0,0.0,1.01280611361515,0.0,3.0,8900,0.0,0.0,0.00011235955056179776,0.00033707865168539324,0.0005617977528089888,Oedipus Tyrannus,ἁλίζω
πρόσημαι,1,1.0,6.0,0.0,1.0265963665920994,0.0,3.0,8900,0.0,0.0,0.00011235955056179776,0.00033707865168539324,0.0006741573033707865,Oedipus Tyrannus,πρόσημαι
βωμός,1,1.0,5.0,0.0,0.9656911724559983,0.0,3.0,8900,0.0,0.0,0.00011235955056179776,0.00033707865168539324,0.0005617977528089888,Oedipus Tyrannus,βωμός
σός,114,114.0,151.0,83.0,10.834670733810507,93.0,135.0,8900,0.009325842696629214,0.010449438202247191,0.012808988764044944,0.015168539325842697,0.01696629213483146,Oedipus Tyrannus,σός
ἕ,25,25.0,43.0,10.0,5.0670580145758075,15.0,35.0,8900,0.0011235955056179776,0.0016853932584269663,0.0028089887640449437,0.003932584269662922,0.004831460674157303,Oedipus Tyrannus,ἕ
οὐδέπω,1,1.0,6.0,0.0,0.9577487756623432,0.0,3.0,8900,0.0,0.0,0.00011235955056179776,0.00033707865168539324,0.0006741573033707865,Oedipus Tyrannus,οὐδέπω
μάκρα,3,3.0,9.0,0.0,1.6682257110406322,0.0,6.0,8900,0.0,0.0,0.00033707865168539324,0.0006741573033707865,0.0010112359550561798,Oedipus Tyrannus,μάκρα
πέτομαι,2,2.0,8.0,0.0,1.4050600720943593,0.0,5.0,8900,0.0,0.0,0.00022471910112359551,0.0005617977528089888,0.0008988764044943821,Oedipus Tyrannus,πέτομαι
σθένω,2,2.0,10.0,0.0,1.4424137556739547,0.0,5.0,8900,0.0,0.0,0.00022471910112359551,0.0005617977528089888,0.0011235955056179776,Oedipus Tyrannus,σθένω
σύν,14,14.0,28.0,3.0,3.749159079872953,7.0,21.0,8900,0.00033707865168539324,0.0007865168539325843,0.0015730337078651685,0.0023595505617977526,0.003146067415730337,Oedipus Tyrannus,σύν
γῆρας,2,2.0,7.0,0.0,1.3827378768096419,0.0,5.0,8900,0.0,0.0,0.00022471910112359551,0.0005617977528089888,0.0007865168539325843,Oedipus Tyrannus,γῆρας
βᾶρις,1,1.0,6.0,0.0,0.9848837515138545,0.0,3.0,8900,0.0,0.0,0.00011235955056179776,0.00033707865168539324,0.0006741573033707865,Oedipus Tyrannus,βᾶρις
ἱερά,2,2.0,8.0,0.0,1.4130114644267393,0.0,5.0,8900,0.0,0.0,0.00022471910112359551,0.0005617977528089888,0.0008988764044943821,Oedipus Tyrannus,ἱερά
Ζεύς,8,8.0,20.0,1.0,2.851947824488799,2.0,14.0,8900,0.00011235955056179776,0.00022471910112359551,0.0008988764044943821,0.0015730337078651685,0.0022471910112359553,Oedipus Tyrannus,ζεύς
ἠίθεος,1,1.0,5.0,0.0,0.9975474420301518,0.0,3.0,8900,0.0,0.0,0.00011235955056179776,0.00033707865168539324,0.0005617977528089888,Oedipus Tyrannus,ἠίθεος
λεκτός,1,1.0,5.0,0.0,0.9838678793394995,0.0,3.0,8900,0.0,0.0,0.00011235955056179776,0.00033707865168539324,0.0005617977528089888,Oedipus Tyrannus,λεκτός
φῦλον,1,1.0,7.0,0.0,0.9832940215760151,0.0,3.0,8900,0.0,0.0,0.00011235955056179776,0.00033707865168539324,0.0007865168539325843,Oedipus Tyrannus,φῦλον
ἀγορά,2,2.0,9.0,0.0,1.4143555417226596,0.0,5.0,8900,0.0,0.0,0.00022471910112359551,0.0005617977528089888,0.0010112359550561798,Oedipus Tyrannus,ἀγορά
θακέω,1,1.0,6.0,0.0,0.9632259318582509,0.0,3.0,8900,0.0,0.0,0.00011235955056179776,0.00033707865168539324,0.0006741573033707865,Oedipus Tyrannus,θακέω
πρός,60,59.0,87.0,37.0,7.672033231555629,44.0,74.0,8900,0.004157303370786517,0.004943820224719101,0.006741573033707865,0.008314606741573034,0.009775280898876405,Oedipus Tyrannus,πρός
Παλλάς,1,1.0,6.0,0.0,1.029939427721468,0.0,3.0,8900,0.0,0.0,0.00011235955056179776,0.00033707865168539324,0.0006741573033707865,Oedipus Tyrannus,παλλάς
διπλόος,5,5.0,14.0,0.0,2.3007838650352177,0.0,10.0,8900,0.0,0.0,0.0005617977528089888,0.0011235955056179776,0.0015730337078651685,Oedipus Tyrannus,διπλόος
