lemma,COUNT,MEAN,MAX,MIN,STD,LOW,HIGH,ALL,MIN_perc,LOW_perc,COUNT_perc,HIGH_perc,MAX_perc,title,lemma_min
ἀφίημι,7,7.0,17.0,0.0,2.748883344261749,2.0,12.0,8924,0.0,0.00022411474675033618,0.0007844016136261766,0.001344688480502017,0.0019049753473778575,Oedipus Tyrannus,ἀφίημι
πύρφορος,2,2.0,7.0,0.0,1.3156158842326093,0.0,5.0,8924,0.0,0.0,0.00022411474675033618,0.0005602868668758404,0.0007844016136261766,Oedipus Tyrannus,πύρφορος
ἀστραπή,1,1.0,6.0,0.0,1.0122447138115176,0.0,3.0,8924,0.0,0.0,0.00011205737337516809,0.00033617212012550425,0.0006723442402510085,Oedipus Tyrannus,ἀστραπή
κράτος,4,4.0,13.0,0.0,1.9212820395050485,0.0,8.0,8924,0.0,0.0,0.00044822949350067237,0.0008964589870013447,0.001456745853877185,Oedipus Tyrannus,κράτος
νέμω,5,5.0,14.0,0.0,2.185955534406313,1.0,9.0,8924,0.0,0.00011205737337516809,0.0005602868668758404,0.0010085163603765128,0.0015688032272523531,Oedipus Tyrannus,νέμω
πάτηρ,1,1.0,5.0,0.0,0.9329542306049069,0.0,3.0,8924,0.0,0.0,0.00011205737337516809,0.00033617212012550425,0.0005602868668758404,Oedipus Tyrannus,πάτηρ
κεραυνός,1,1.0,5.0,0.0,0.992731828600497,0.0,3.0,8924,0.0,0.0,0.00011205737337516809,0.00033617212012550425,0.0005602868668758404,Oedipus Tyrannus,κεραυνός
Λύκει,2,2.0,10.0,0.0,1.5223772093776122,0.0,5.0,8924,0.0,0.0,0.00022411474675033618,0.0005602868668758404,0.0011205737337516809,Oedipus Tyrannus,λύκει
χρυσόστροφος,1,1.0,6.0,0.0,1.0044774885357248,0.0,3.0,8924,0.0,0.0,0.00011205737337516809,0.00033617212012550425,0.0006723442402510085,Oedipus Tyrannus,χρυσόστροφος
ἀγκυλᾶν,1,1.0,5.0,0.0,0.9726232590247975,0.0,3.0,8924,0.0,0.0,0.00011205737337516809,0.00033617212012550425,0.0005602868668758404,Oedipus Tyrannus,ἀγκυλᾶν
βέλος,2,2.0,8.0,0.0,1.4124160438479463,0.0,5.0,8924,0.0,0.0,0.00022411474675033618,0.0005602868668758404,0.0008964589870013447,Oedipus Tyrannus,βέλος
θέλοιμ,1,1.0,6.0,0.0,0.9987994791750722,0.0,3.0,8924,0.0,0.0,0.00011205737337516809,0.00033617212012550425,0.0006723442402510085,Oedipus Tyrannus,θέλοιμ
